GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
findfoodback,com.techchallenge.restaurant.api.findfood.api.exceptionhandler,CustomExceptionHandler,0,92,0,0,0,20,0,4,0,4
findfoodback,com.techchallenge.restaurant.api.findfood.api.exceptionhandler,ErrorMessage,0,31,0,0,0,6,0,9,0,9
findfoodback,com.techchallenge.restaurant.api.findfood,FindfoodApplication,5,3,0,0,2,1,1,1,1,1
findfoodback,com.techchallenge.restaurant.api.findfood.domain.exception,NaoHaMesasDisponiveisException,0,4,0,0,0,2,0,1,0,1
findfoodback,com.techchallenge.restaurant.api.findfood.config,SwaggerConfig,0,35,0,0,0,13,0,2,0,2
findfoodback,com.techchallenge.restaurant.api.findfood.config,AppConfig,0,7,0,0,0,2,0,2,0,2
findfoodback,com.techchallenge.restaurant.api.findfood.api.controller,RestauranteController,6,56,2,2,2,13,2,6,0,6
findfoodback,com.techchallenge.restaurant.api.findfood.api.controller,AvaliacaoController,0,22,0,0,0,4,0,3,0,3
findfoodback,com.techchallenge.restaurant.api.findfood.api.controller,ReservaController,0,41,0,0,0,9,0,5,0,5
findfoodback,com.techchallenge.restaurant.api.findfood.domain.model,Reserva,296,90,70,0,0,12,39,19,4,19
findfoodback,com.techchallenge.restaurant.api.findfood.domain.model,Restaurante,217,66,48,0,0,10,29,14,5,14
findfoodback,com.techchallenge.restaurant.api.findfood.domain.model,Restaurante.RestauranteBuilder,14,49,0,0,0,1,1,8,1,8
findfoodback,com.techchallenge.restaurant.api.findfood.domain.model,Avaliacao.AvaliacaoBuilder,16,56,0,0,0,1,1,9,1,9
findfoodback,com.techchallenge.restaurant.api.findfood.domain.model,Reserva.ReservaBuilder,23,58,0,0,0,1,2,9,2,9
findfoodback,com.techchallenge.restaurant.api.findfood.domain.model,Avaliacao,256,70,56,0,2,9,35,14,7,14
findfoodback,com.techchallenge.restaurant.api.findfood.api.model,ReservaDTO,255,88,60,2,0,11,34,18,3,18
findfoodback,com.techchallenge.restaurant.api.findfood.api.model,RestauranteDTO,119,138,33,13,0,9,25,15,2,15
findfoodback,com.techchallenge.restaurant.api.findfood.api.model,RestauranteDTO.RestauranteDTOBuilder,12,42,0,0,0,1,1,7,1,7
findfoodback,com.techchallenge.restaurant.api.findfood.api.model,AvaliacaoDTO,119,138,33,13,0,9,25,15,2,15
findfoodback,com.techchallenge.restaurant.api.findfood.api.model,ReservaDTO.ReservaDTOBuilder,16,56,0,0,0,1,1,9,1,9
findfoodback,com.techchallenge.restaurant.api.findfood.api.model,AvaliacaoDTO.AvaliacaoDTOBuilder,12,42,0,0,0,1,1,7,1,7
findfoodback,com.techchallenge.restaurant.api.findfood.domain.service,RestauranteService,5,219,12,28,1,40,12,16,0,8
findfoodback,com.techchallenge.restaurant.api.findfood.domain.service,AvaliacaoService,0,89,0,8,0,17,0,8,0,4
findfoodback,com.techchallenge.restaurant.api.findfood.domain.service,ReservaService,0,170,0,8,0,29,0,13,0,9
